tolerances,sizes,solution,pop_type
0,593,TRUE,raw
0.0025,603,TRUE,raw
0.005,613,TRUE,raw
0.0075,623,TRUE,raw
0.01,633,TRUE,raw
0.0125,653,TRUE,raw
0.015,663,TRUE,raw
0.0175,673,TRUE,raw
0.02,683,TRUE,raw
0.0225,703,TRUE,raw
0.025,713,TRUE,raw
0.0275,733,TRUE,raw
0.03,743,TRUE,raw
0.0325,763,TRUE,raw
0.035,773,TRUE,raw
0.0375,793,TRUE,raw
0.04,813,TRUE,raw
0.0425,833,TRUE,raw
0.045,853,TRUE,raw
0.0475,873,TRUE,raw
0.05,893,TRUE,raw
0,709,TRUE,adj_cte
0.0025,729,TRUE,adj_cte
0.005,739,TRUE,adj_cte
0.0075,759,TRUE,adj_cte
0.01,779,TRUE,adj_cte
0.0125,789,TRUE,adj_cte
0.015,809,TRUE,adj_cte
0.0175,829,TRUE,adj_cte
0.02,849,TRUE,adj_cte
0.0225,869,TRUE,adj_cte
0.025,889,TRUE,adj_cte
0.0275,909,TRUE,adj_cte
0.03,939,TRUE,adj_cte
0.0325,949,TRUE,adj_cte
0.035,959,TRUE,adj_cte
0.0375,959,TRUE,adj_cte
0.04,969,TRUE,adj_cte
0.0425,979,TRUE,adj_cte
0.045,979,TRUE,adj_cte
0.0475,989,TRUE,adj_cte
0.05,989,TRUE,adj_cte
