var,cat,n,pp
P18_genere,R18_home,4027066,49.38381608380126
P18_genere,R18_dona,4127561,50.61618391619874
P19_edat,R19_16-24anys,846924,13.535290964550336
P19_edat,R19_25-34anys,1007220,16.097094621612317
P19_edat,R19_35-44anys,1106933,17.690678541714014
P19_edat,R19_45-54anys,1331043,21.272338830081534
P19_edat,R19_55-64anys,1088260,17.392252132519033
P19_edat,R19_65anys_mes,876774,14.012344909522763
P22_urba_rural,R22_urba,4935497,61.59953451167347
P22_urba_rural,R22_semidens,2384146,29.756331289000528
P22_urba_rural,R22_rural,692588,8.644134199326006
P22_provincia,R22_barcelona,5975541,73.27791939471909
P22_provincia,R22_girona,836066,10.25265778557376
P22_provincia,R22_lleida,461028,5.653575571267699
P22_provincia,R22_tarragona,881992,10.815847248439445
P21_salari_brut_anual,R21_menys_11000,NA,10
P21_salari_brut_anual,R21_11000-16999,NA,15
P21_salari_brut_anual,R21_17000-24999,NA,24.999999999999996
P21_salari_brut_anual,R21_25000-35999,NA,24.999999999999996
P21_salari_brut_anual,R21_36000-49999,NA,15
P21_salari_brut_anual,R21_50000_mes,NA,9.999999999999998
