ID,P18_genere,P19_edat,P21_salari_brut_anual,P22_urba_rural,P22_provincia
1,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_barcelona
2,R18_home,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
3,R18_home,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
4,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
5,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
6,R18_home,R19_55-64anys,R21_50000_mes,R22_semidens,R22_barcelona
7,R18_home,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
8,R18_dona,R19_55-64anys,R21_50000_mes,R22_semidens,R22_tarragona
10,R18_home,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
11,R18_home,R19_65anys_mes,R21_25000-35999,R22_urba,R22_tarragona
13,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
14,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
15,R18_home,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
16,R18_dona,R19_16-24anys,R21_17000-24999,R22_urba,R22_barcelona
17,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
18,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_tarragona
19,R18_home,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
20,R18_home,R19_16-24anys,R21_11000-16999,R22_urba,R22_barcelona
21,R18_home,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
22,R18_home,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
23,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
24,R18_dona,R19_35-44anys,R21_11000-16999,R22_rural,R22_lleida
25,R18_home,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
26,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
27,R18_home,R19_45-54anys,R21_50000_mes,R22_semidens,R22_barcelona
28,R18_home,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
29,R18_home,R19_25-34anys,R21_11000-16999,R22_urba,R22_barcelona
31,R18_home,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
32,R18_home,R19_65anys_mes,R21_50000_mes,R22_rural,R22_barcelona
33,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
34,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
36,R18_dona,R19_65anys_mes,R21_17000-24999,R22_urba,R22_barcelona
37,R18_dona,R19_55-64anys,R21_25000-35999,R22_semidens,R22_barcelona
38,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
41,R18_dona,R19_65anys_mes,R21_17000-24999,R22_urba,R22_barcelona
42,R18_dona,R19_55-64anys,R21_36000-49999,R22_urba,R22_barcelona
43,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
