var,cat,n,pp
P18_genere,R18_dona,908,67.30911786508524
P18_genere,R18_home,441,32.69088213491475
P19_edat,R19_16-24anys,225,16.679021497405486
P19_edat,R19_25-34anys,335,24.833209785025947
P19_edat,R19_35-44anys,217,16.08598962194218
P19_edat,R19_45-54anys,245,18.161601186063752
P19_edat,R19_55-64anys,221,16.38250555967383
P19_edat,R19_65anys_mes,106,7.857672349888807
P21_salari_brut_anual,R21_11000-16999,89,6.597479614529281
P21_salari_brut_anual,R21_17000-24999,218,16.160118606375093
P21_salari_brut_anual,R21_25000-35999,369,27.353595255744995
P21_salari_brut_anual,R21_36000-49999,250,18.532246108228318
P21_salari_brut_anual,R21_50000_mes,186,13.787991104521868
P21_salari_brut_anual,R21_menys_11000,237,17.568569310600445
P22_provincia,R22_barcelona,1057,78.35433654558932
P22_provincia,R22_girona,116,8.59896219421794
P22_provincia,R22_lleida,75,5.559673832468495
P22_provincia,R22_tarragona,101,7.48702742772424
P22_urba_rural,R22_rural,122,9.04373610081542
P22_urba_rural,R22_semidens,411,30.467012601927355
P22_urba_rural,R22_urba,816,60.489251297257226
