cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Man,High,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
Woman,High,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
Man,Low,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
Woman,Low,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
Man,Medium,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
Woman,Medium,NA,FALSE,Hygiene concerns,Q18_gender,0.3564962127749407,,barriers
16-34,High,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
35-54,High,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
≥ 55,High,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
16-34,Low,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
35-54,Low,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
≥ 55,Low,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
16-34,Medium,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
35-54,Medium,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
≥ 55,Medium,NA,FALSE,Hygiene concerns,Q19_age,0.11563781890862272,,barriers
"[17,000, 36,000)",High,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"< 17,000",High,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"≥ 36,000",High,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"[17,000, 36,000)",Low,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"< 17,000",Low,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"≥ 36,000",Low,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"[17,000, 36,000)",Medium,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"< 17,000",Medium,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
"≥ 36,000",Medium,NA,FALSE,Hygiene concerns,Q21_annual_gross_salary,0.06548031568134464,,barriers
Rural,High,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Town and suburb,High,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Urban,High,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Rural,Low,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Town and suburb,Low,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Urban,Low,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Rural,Medium,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Town and suburb,Medium,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Urban,Medium,NA,FALSE,Hygiene concerns,Q22B_degurba,0.12842905310404087,,barriers
Barcelona,High,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Girona,High,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Lleida,High,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Tarragona,High,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Barcelona,Low,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Girona,Low,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Lleida,Low,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Tarragona,Low,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Barcelona,Medium,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Girona,Medium,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Lleida,Medium,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Tarragona,Medium,NA,FALSE,Hygiene concerns,Q22C_province,0.6056645173960968,,barriers
Man,High,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
Woman,High,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
Man,Low,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
Woman,Low,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
Man,Medium,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
Woman,Medium,NA,FALSE,Social stigma,Q18_gender,0.24538246537065656,,barriers
16-34,High,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
35-54,High,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
≥ 55,High,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
16-34,Low,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
35-54,Low,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
≥ 55,Low,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
16-34,Medium,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
35-54,Medium,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
≥ 55,Medium,NA,FALSE,Social stigma,Q19_age,0.2218495767640798,,barriers
"[17,000, 36,000)",High,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"< 17,000",High,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"≥ 36,000",High,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"[17,000, 36,000)",Low,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"< 17,000",Low,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"≥ 36,000",Low,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
