cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Man,Buy,-2.736601030386471,TRUE,Second-hand purchase,Q18_gender,1.6985544046782876e-6,**,general
Woman,Buy,2.595199513524468,TRUE,Second-hand purchase,Q18_gender,1.6985544046782876e-6,**,general
Man,Don't buy,2.2201967168243764,TRUE,Second-hand purchase,Q18_gender,1.6985544046782876e-6,*,general
Woman,Don't buy,-2.1054780640119586,TRUE,Second-hand purchase,Q18_gender,1.6985544046782876e-6,*,general
16-34,Buy,3.8017199181738506,TRUE,Second-hand purchase,Q19_age,4.419774229908978e-11,***,general
35-54,Buy,-0.1896336946126863,FALSE,Second-hand purchase,Q19_age,4.419774229908978e-11,,general
≥ 55,Buy,-3.777275801681303,TRUE,Second-hand purchase,Q19_age,4.419774229908978e-11,***,general
16-34,Don't buy,-3.084324673890596,TRUE,Second-hand purchase,Q19_age,4.419774229908978e-11,**,general
35-54,Don't buy,0.15384928292558028,FALSE,Second-hand purchase,Q19_age,4.419774229908978e-11,,general
≥ 55,Don't buy,3.0644932309510446,TRUE,Second-hand purchase,Q19_age,4.419774229908978e-11,**,general
"[17,000, 36,000)",Buy,0.9328152459419422,FALSE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,,general
"< 17,000",Buy,2.2833225338169325,TRUE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,*,general
"≥ 36,000",Buy,-2.982220762342494,TRUE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,**,general
"[17,000, 36,000)",Don't buy,-0.756790384658865,FALSE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,,general
"< 17,000",Don't buy,-1.852453147807063,FALSE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,,general
"≥ 36,000",Don't buy,2.419467314336002,TRUE,Second-hand purchase,Q21_annual_gross_salary,4.046162754271187e-6,*,general
Rural,Buy,-0.4167206210273671,FALSE,Second-hand purchase,Q22B_degurba,0.00462507798751255,,general
Town and suburb,Buy,-1.9667618662591044,TRUE,Second-hand purchase,Q22B_degurba,0.00462507798751255,*,general
Urban,Buy,1.5628931358564846,FALSE,Second-hand purchase,Q22B_degurba,0.00462507798751255,,general
Rural,Don't buy,0.33808426744154074,FALSE,Second-hand purchase,Q22B_degurba,0.00462507798751255,,general
Town and suburb,Don't buy,1.5956283688262676,FALSE,Second-hand purchase,Q22B_degurba,0.00462507798751255,,general
Urban,Don't buy,-1.267970804091193,FALSE,Second-hand purchase,Q22B_degurba,0.00462507798751255,,general
