type,var,cat,Profile_1,Profile_2,Total
Indicator,A02A_cheap,low,11.2,9.4,10.4
Indicator,A02A_cheap,medium,21.3,22.8,22.0
Indicator,A02A_cheap,high,67.6,67.8,67.7
Indicator,A02A_sustainable,low,21.8,NA,12.2
Indicator,A02A_sustainable,medium,38.8,9.4,25.8
Indicator,A02A_sustainable,high,39.4,90.6,62.0
Indicator,A02A_unique_piece,low,38.8,34.2,36.8
Indicator,A02A_unique_piece,medium,26.1,26.2,26.1
Indicator,A02A_unique_piece,high,35.1,39.6,37.1
Indicator,A02A_consumption_patterns,low,64.9,NA,36.2
Indicator,A02A_consumption_patterns,medium,34.6,22.8,29.4
Indicator,A02A_consumption_patterns,high,0.5,77.2,34.4
Indicator,A02A_quality,low,54.3,45.0,50.1
Indicator,A02A_quality,medium,34.0,32.9,33.5
Indicator,A02A_quality,high,11.7,22.1,16.3
Indicator,A02A_shopping_experience,low,69.7,49.7,60.8
Indicator,A02A_shopping_experience,medium,24.5,32.2,27.9
Indicator,A02A_shopping_experience,high,5.9,18.1,11.3
Indicator,A02A_trendy,low,91.5,88.6,90.2
Indicator,A02A_trendy,medium,6.9,10.7,8.6
Indicator,A02A_trendy,high,1.6,0.7,1.2
Indicator,Q05_buying_frequency,low,24.5,20.8,22.8
Indicator,Q05_buying_frequency,medium,33.5,35.6,34.4
Indicator,Q05_buying_frequency,high,42.0,43.6,42.7
Indicator,Q15_disposal_frequency,low,20.7,38.3,28.5
Indicator,Q15_disposal_frequency,medium,62.8,46.3,55.5
Indicator,Q15_disposal_frequency,high,16.5,15.4,16.0
Indicator,Q07_quantity_second_vs_new,less,81.4,34.2,60.5
Indicator,Q07_quantity_second_vs_new,same,10.6,21.5,15.4
Indicator,Q07_quantity_second_vs_new,more,8.0,44.3,24.0
Indicator,Q06_buy_for_who,others,16.0,4.7,11.0
Indicator,Q06_buy_for_who,both,32.4,22.8,28.2
Indicator,Q06_buy_for_who,me,51.6,72.5,60.8
Indicator,Q01B_money_free,A01B_money_free,53.7,66.4,59.3
Indicator,Q01B_money_free,A01B_money,46.3,33.6,40.7
Indicator,Q03A_channel_second,online,31.9,18.8,26.1
Indicator,Q03A_channel_second,equal,9.0,13.4,11.0
Indicator,Q03A_channel_second,physical,59.0,67.8,62.9
Indicator,SR_average,low,14.9,9.4,12.5
Indicator,SR_average,medium,23.9,30.2,26.7
Indicator,SR_average,high,61.2,60.4,60.8
Indicator,Q23_environmental_concern,low,8.0,4.7,6.5
Indicator,Q23_environmental_concern,medium,53.7,45.6,50.1
Indicator,Q23_environmental_concern,high,38.3,49.7,43.3
Indicator,Q08n_general_clothing,NA,12.8,3.4,8.6
Indicator,Q08n_general_clothing,NA,87.2,96.6,91.4
Indicator,Q08n_shoes,NA,87.2,87.2,87.2
Indicator,Q08n_shoes,NA,12.8,12.8,12.8
Indicator,Q08n_occasional_clothing,NA,93.6,95.3,94.4
Indicator,Q08n_occasional_clothing,NA,6.4,4.7,5.6
Indicator,Q08n_sportswear,NA,92.6,92.6,92.6
Indicator,Q08n_sportswear,NA,7.4,7.4,7.4
Indicator,Q08n_children_clothing,NA,90.4,91.9,91.1
Indicator,Q08n_children_clothing,NA,9.6,8.1,8.9
Indicator,Q08n_other,NA,84.0,88.6,86.1
Indicator,Q08n_other,NA,16.0,11.4,13.9
Indicator,Q01A_use,NA,8.5,NA,4.7
Indicator,Q01A_use,NA,91.5,100.0,95.3
Covariate,Q18_gender,A18_man,41.0,32.2,37.1
Covariate,Q18_gender,A18_woman,59.0,67.8,62.9
Covariate,Q19_age,16-34,37.8,51.0,43.6
Covariate,Q19_age,35-54,41.0,35.6,38.6
Covariate,Q19_age,55+,21.3,13.4,17.8
Covariate,Q21_annual_gross_salary,"< 17,000",26.1,29.5,27.6
Covariate,Q21_annual_gross_salary,"[17,000, 36,000)",44.1,55.7,49.3
Covariate,Q21_annual_gross_salary,"> 36,000",29.8,14.8,23.1
Covariate,Q22B_degurba,A22B_urban,59.6,74.5,66.2
Covariate,Q22B_degurba,A22B_town_suburb,27.7,18.8,23.7
Covariate,Q22B_degurba,A22B_rural,12.8,6.7,10.1
Covariate,Q22C_province,A22C_barcelona,74.5,81.2,77.4
Covariate,Q22C_province,A22C_girona,9.6,10.1,9.8
Covariate,Q22C_province,A22C_lleida,6.4,6.7,6.5
Covariate,Q22C_province,A22C_tarragona,9.6,2.0,6.2
Covariate,Q20_education,low,8.5,10.7,9.5
Covariate,Q20_education,medium,56.4,47.7,52.5
Covariate,Q20_education,high,35.1,41.6,38.0
