ind,ind_cat,prob_1,prob_2
A02A_cheap,low,0.11,0.10
A02A_cheap,medium,0.21,0.23
A02A_cheap,high,0.68,0.67
A02A_sustainable,low,0.22,0.00
A02A_sustainable,medium,0.38,0.10
A02A_sustainable,high,0.40,0.90
A02A_unique_piece,low,0.39,0.33
A02A_unique_piece,medium,0.26,0.26
A02A_unique_piece,high,0.35,0.40
A02A_consumption_patterns,low,0.65,0.00
A02A_consumption_patterns,medium,0.33,0.25
A02A_consumption_patterns,high,0.02,0.75
A02A_quality,low,0.54,0.46
A02A_quality,medium,0.33,0.34
A02A_quality,high,0.13,0.21
A02A_shopping_experience,low,0.69,0.50
A02A_shopping_experience,medium,0.25,0.31
A02A_shopping_experience,high,0.06,0.18
A02A_trendy,low,0.92,0.88
A02A_trendy,medium,0.06,0.11
A02A_trendy,high,0.01,0.01
Q05_buying_frequency,low,0.24,0.21
Q05_buying_frequency,medium,0.34,0.35
Q05_buying_frequency,high,0.42,0.44
Q15_disposal_frequency,low,0.21,0.38
Q15_disposal_frequency,medium,0.62,0.47
Q15_disposal_frequency,high,0.17,0.15
Q07_quantity_second_vs_new,less,0.78,0.38
Q07_quantity_second_vs_new,same,0.12,0.20
Q07_quantity_second_vs_new,more,0.10,0.42
Q06_buy_for_who,others,0.16,0.04
Q06_buy_for_who,both,0.33,0.22
Q06_buy_for_who,me,0.51,0.73
Q01B_money_free,A01B_money_free,0.54,0.66
Q01B_money_free,A01B_money,0.46,0.34
Q03A_channel_second,online,0.32,0.19
Q03A_channel_second,equal,0.09,0.14
Q03A_channel_second,physical,0.59,0.68
