type,var,cat,Profile_1,Profile_2,Profile_3,Total
Indicator,A02B_not_accessible,low,53.4,38.8,32.1,43.4
Indicator,A02B_not_accessible,medium,16.7,23.9,33.6,23.4
Indicator,A02B_not_accessible,high,29.9,37.3,34.3,33.1
Indicator,A02B_unknown_use,low,49.8,94.8,18.6,53.1
Indicator,A02B_unknown_use,medium,13.6,5.2,29.3,15.8
Indicator,A02B_unknown_use,high,36.7,NA,52.1,31.1
Indicator,A02B_no_trendy,low,95.0,24.6,12.1,52.5
Indicator,A02B_no_trendy,medium,0.9,46.3,40.0,24.2
Indicator,A02B_no_trendy,high,4.1,29.1,47.9,23.2
Indicator,A02B_same_price,low,69.2,61.9,19.3,53.1
Indicator,A02B_same_price,medium,15.8,26.1,34.3,23.8
Indicator,A02B_same_price,high,14.9,11.9,46.4,23.0
Indicator,A02B_no_size,low,99.1,15.7,27.1,56.2
Indicator,A02B_no_size,medium,0.9,47.0,42.1,25.1
Indicator,A02B_no_size,high,NA,37.3,30.7,18.8
Indicator,A02B_less_quality,low,85.5,80.6,40.0,71.3
Indicator,A02B_less_quality,medium,8.6,12.7,43.6,19.6
Indicator,A02B_less_quality,high,5.9,6.7,16.4,9.1
Indicator,A02B_no_sustainable,low,80.1,85.1,54.3,74.1
Indicator,A02B_no_sustainable,medium,10.9,14.2,32.9,18.0
Indicator,A02B_no_sustainable,high,9.0,0.7,12.9,7.9
Indicator,A02B_embarrassing,low,94.6,100.0,64.3,87.5
Indicator,A02B_embarrassing,medium,4.1,NA,29.3,10.1
Indicator,A02B_embarrassing,high,1.4,NA,6.4,2.4
Indicator,Q05_buying_frequency,low,46.6,50.0,14.3,38.4
Indicator,Q05_buying_frequency,medium,34.8,36.6,33.6,34.9
Indicator,Q05_buying_frequency,high,18.6,13.4,52.1,26.7
Indicator,Q15_disposal_frequency,low,43.4,45.5,22.1,38.0
Indicator,Q15_disposal_frequency,medium,48.4,50.0,60.0,52.1
Indicator,Q15_disposal_frequency,high,8.1,4.5,17.9,9.9
Indicator,Q06_buy_for_who,me,65.6,57.5,41.4,56.6
Indicator,Q06_buy_for_who,both,22.2,35.1,49.3,33.3
Indicator,Q06_buy_for_who,others,12.2,7.5,9.3,10.1
Indicator,Q01A_use,TRUE,29.4,53.7,20.7,33.5
Indicator,Q01A_use,FALSE,70.6,46.3,79.3,66.5
Indicator,Q03B_channel_new,physical,81.9,79.9,67.9,77.4
Indicator,Q03B_channel_new,equal,10.0,14.9,20.0,14.1
Indicator,Q03B_channel_new,online,8.1,5.2,12.1,8.5
Indicator,Q23_environmental_concern,low,8.1,5.2,10.7,8.1
Indicator,Q23_environmental_concern,medium,58.4,57.5,65.0,60.0
Indicator,Q23_environmental_concern,high,33.5,37.3,24.3,31.9
Covariate,Q18_gender,A18_man,60.6,53.7,43.6,53.9
Covariate,Q18_gender,A18_woman,39.4,46.3,56.4,46.1
Covariate,Q19_age,16-34,19.5,32.1,25.0,24.4
Covariate,Q19_age,35-54,38.5,35.1,45.0,39.4
Covariate,Q19_age,55+,42.1,32.8,30.0,36.2
Covariate,Q21_annual_gross_salary,"< 17,000",13.1,26.9,17.9,18.2
Covariate,Q21_annual_gross_salary,"[17,000, 36,000)",41.6,44.8,44.3,43.2
Covariate,Q21_annual_gross_salary,"> 36,000",45.2,28.4,37.9,38.6
Covariate,Q22B_degurba,A22B_urban,53.4,54.5,59.3,55.4
Covariate,Q22B_degurba,A22B_town_suburb,33.5,35.1,31.4,33.3
Covariate,Q22B_degurba,A22B_rural,13.1,10.4,9.3,11.3
Covariate,Q22C_province,A22C_barcelona,76.0,74.6,71.4,74.3
Covariate,Q22C_province,A22C_girona,9.0,7.5,10.7,9.1
Covariate,Q22C_province,A22C_lleida,6.3,6.0,4.3,5.7
Covariate,Q22C_province,A22C_tarragona,8.6,11.9,13.6,10.9
Covariate,Q20_education,low,10.9,12.7,5.0,9.7
Covariate,Q20_education,medium,59.3,56.7,67.1,60.8
Covariate,Q20_education,high,29.9,30.6,27.9,29.5
