ind,ind_cat,prob_1,prob_2,prob_3
A02B_not_accessible,low,0.53,0.39,0.33
A02B_not_accessible,medium,0.17,0.23,0.34
A02B_not_accessible,high,0.30,0.38,0.33
A02B_unknown_use,low,0.50,0.93,0.21
A02B_unknown_use,medium,0.13,0.07,0.28
A02B_unknown_use,high,0.38,0.00,0.51
A02B_no_trendy,low,0.92,0.29,0.16
A02B_no_trendy,medium,0.03,0.41,0.40
A02B_no_trendy,high,0.04,0.30,0.45
A02B_same_price,low,0.69,0.61,0.22
A02B_same_price,medium,0.16,0.26,0.34
A02B_same_price,high,0.15,0.13,0.44
A02B_no_size,low,0.98,0.19,0.28
A02B_no_size,medium,0.02,0.44,0.42
A02B_no_size,high,0.00,0.37,0.30
A02B_less_quality,low,0.85,0.82,0.41
A02B_less_quality,medium,0.09,0.12,0.42
A02B_less_quality,high,0.06,0.06,0.17
A02B_no_sustainable,low,0.79,0.85,0.56
A02B_no_sustainable,medium,0.11,0.14,0.32
A02B_no_sustainable,high,0.10,0.01,0.12
A02B_embarrassing,low,0.95,1.00,0.65
A02B_embarrassing,medium,0.04,0.00,0.29
A02B_embarrassing,high,0.01,0.00,0.06
Q05_buying_frequency,low,0.46,0.50,0.16
Q05_buying_frequency,medium,0.36,0.36,0.33
Q05_buying_frequency,high,0.18,0.14,0.51
Q15_disposal_frequency,low,0.44,0.45,0.23
Q15_disposal_frequency,medium,0.48,0.50,0.60
Q15_disposal_frequency,high,0.08,0.05,0.17
Q06_buy_for_who,me,0.66,0.58,0.42
Q06_buy_for_who,both,0.22,0.36,0.48
Q06_buy_for_who,others,0.12,0.07,0.10
Q01A_use,TRUE,0.29,0.54,0.21
Q01A_use,FALSE,0.71,0.46,0.79
Q03B_channel_new,physical,0.83,0.79,0.68
Q03B_channel_new,equal,0.09,0.16,0.20
Q03B_channel_new,online,0.08,0.05,0.12
